864
type x y z
Ar 0.0 8.333333333333334 6.666666666666667
Ar 0.0 9.166666666666668 7.5
Ar 0.8333333333333334 8.333333333333334 7.5
Ar 0.8333333333333334 9.166666666666668 6.666666666666667
Ar 0.0 8.333333333333334 8.333333333333334
Ar 0.0 9.166666666666668 9.166666666666668
Ar 0.8333333333333334 8.333333333333334 9.166666666666668
Ar 0.8333333333333334 9.166666666666668 8.333333333333334
Ar 1.6666666666666667 0.0 0.0
Ar 1.6666666666666667 0.8333333333333334 0.8333333333333334
Ar 2.5 0.0 0.8333333333333334
Ar 2.5 0.8333333333333334 0.0
Ar 1.6666666666666667 0.0 1.6666666666666667
Ar 1.6666666666666667 0.8333333333333334 2.5
Ar 2.5 0.0 2.5
Ar 2.5 0.8333333333333334 1.6666666666666667
Ar 1.6666666666666667 0.0 3.3333333333333335
Ar 1.6666666666666667 0.8333333333333334 4.166666666666667
Ar 2.5 0.0 4.166666666666667
Ar 2.5 0.8333333333333334 3.3333333333333335
Ar 1.6666666666666667 0.0 5.0
Ar 1.6666666666666667 0.8333333333333334 5.833333333333334
Ar 2.5 0.0 5.833333333333334
Ar 2.5 0.8333333333333334 5.0
Ar 1.6666666666666667 0.0 6.666666666666667
Ar 1.6666666666666667 0.8333333333333334 7.5
Ar 2.5 0.0 7.5
Ar 2.5 0.8333333333333334 6.666666666666667
Ar 1.6666666666666667 0.0 8.333333333333334
Ar 1.6666666666666667 0.8333333333333334 9.166666666666668
Ar 2.5 0.0 9.166666666666668
Ar 2.5 0.8333333333333334 8.333333333333334
Ar 1.6666666666666667 1.6666666666666667 0.0
Ar 1.6666666666666667 2.5 0.8333333333333334
Ar 2.5 1.6666666666666667 0.8333333333333334
Ar 2.5 2.5 0.0
Ar 1.6666666666666667 1.6666666666666667 1.6666666666666667
Ar 1.6666666666666667 2.5 2.5
Ar 2.5 1.6666666666666667 2.5
Ar 2.5 2.5 1.6666666666666667
Ar 1.6666666666666667 1.6666666666666667 3.3333333333333335
Ar 1.6666666666666667 2.5 4.166666666666667
Ar 2.5 1.6666666666666667 4.166666666666667
Ar 2.5 2.5 3.3333333333333335
Ar 1.6666666666666667 1.6666666666666667 5.0
Ar 1.6666666666666667 2.5 5.833333333333334
Ar 2.5 1.6666666666666667 5.833333333333334
Ar 2.5 2.5 5.0
Ar 1.6666666666666667 1.6666666666666667 6.666666666666667
Ar 1.6666666666666667 2.5 7.5
Ar 2.5 1.6666666666666667 7.5
Ar 2.5 2.5 6.666666666666667
Ar 1.6666666666666667 1.6666666666666667 8.333333333333334
Ar 1.6666666666666667 2.5 9.166666666666668
Ar 2.5 1.6666666666666667 9.166666666666668
Ar 2.5 2.5 8.333333333333334
Ar 1.6666666666666667 3.3333333333333335 0.0
Ar 1.6666666666666667 4.166666666666667 0.8333333333333334
Ar 2.5 3.3333333333333335 0.8333333333333334
Ar 2.5 4.166666666666667 0.0
Ar 1.6666666666666667 3.3333333333333335 1.6666666666666667
Ar 1.6666666666666667 4.166666666666667 2.5
Ar 2.5 3.3333333333333335 2.5
Ar 2.5 4.166666666666667 1.6666666666666667
Ar 1.6666666666666667 3.3333333333333335 3.3333333333333335
Ar 1.6666666666666667 4.166666666666667 4.166666666666667
Ar 2.5 3.3333333333333335 4.166666666666667
Ar 2.5 4.166666666666667 3.3333333333333335
Ar 1.6666666666666667 3.3333333333333335 5.0
Ar 1.6666666666666667 4.166666666666667 5.833333333333334
Ar 2.5 3.3333333333333335 5.833333333333334
Ar 2.5 4.166666666666667 5.0
Ar 1.6666666666666667 3.3333333333333335 6.666666666666667
Ar 1.6666666666666667 4.166666666666667 7.5
Ar 2.5 3.3333333333333335 7.5
Ar 2.5 4.166666666666667 6.666666666666667
Ar 1.6666666666666667 3.3333333333333335 8.333333333333334
Ar 1.6666666666666667 4.166666666666667 9.166666666666668
Ar 2.5 3.3333333333333335 9.166666666666668
Ar 2.5 4.166666666666667 8.333333333333334
Ar 1.6666666666666667 5.0 0.0
Ar 1.6666666666666667 5.833333333333334 0.8333333333333334
Ar 2.5 5.0 0.8333333333333334
Ar 2.5 5.833333333333334 0.0
Ar 1.6666666666666667 5.0 1.6666666666666667
Ar 1.6666666666666667 5.833333333333334 2.5
Ar 2.5 5.0 2.5
Ar 2.5 5.833333333333334 1.6666666666666667
Ar 1.6666666666666667 5.0 3.3333333333333335
Ar 1.6666666666666667 5.833333333333334 4.166666666666667
Ar 2.5 5.0 4.166666666666667
Ar 2.5 5.833333333333334 3.3333333333333335
Ar 1.6666666666666667 5.0 5.0
Ar 1.6666666666666667 5.833333333333334 5.833333333333334
Ar 2.5 5.0 5.833333333333334
Ar 2.5 5.833333333333334 5.0
Ar 1.6666666666666667 5.0 6.666666666666667
Ar 1.6666666666666667 5.833333333333334 7.5
Ar 2.5 5.0 7.5
Ar 2.5 5.833333333333334 6.666666666666667
Ar 1.6666666666666667 5.0 8.333333333333334
Ar 1.6666666666666667 5.833333333333334 9.166666666666668
Ar 2.5 5.0 9.166666666666668
Ar 2.5 5.833333333333334 8.333333333333334
Ar 1.6666666666666667 6.666666666666667 0.0
Ar 1.6666666666666667 7.5 0.8333333333333334
Ar 2.5 6.666666666666667 0.8333333333333334
Ar 2.5 7.5 0.0
Ar 1.6666666666666667 6.666666666666667 1.6666666666666667
Ar 1.6666666666666667 7.5 2.5
Ar 2.5 6.666666666666667 2.5
Ar 2.5 7.5 1.6666666666666667
Ar 1.6666666666666667 6.666666666666667 3.3333333333333335
Ar 1.6666666666666667 7.5 4.166666666666667
Ar 2.5 6.666666666666667 4.166666666666667
Ar 2.5 7.5 3.3333333333333335
Ar 1.6666666666666667 6.666666666666667 5.0
Ar 1.6666666666666667 7.5 5.833333333333334
Ar 2.5 6.666666666666667 5.833333333333334
Ar 2.5 7.5 5.0
Ar 1.6666666666666667 6.666666666666667 6.666666666666667
Ar 1.6666666666666667 7.5 7.5
Ar 2.5 6.666666666666667 7.5
Ar 2.5 7.5 6.666666666666667
Ar 1.6666666666666667 6.666666666666667 8.333333333333334
Ar 1.6666666666666667 7.5 9.166666666666668
Ar 2.5 6.666666666666667 9.166666666666668
Ar 2.5 7.5 8.333333333333334
Ar 1.6666666666666667 8.333333333333334 0.0
Ar 1.6666666666666667 9.166666666666668 0.8333333333333334
Ar 2.5 8.333333333333334 0.8333333333333334
Ar 2.5 9.166666666666668 0.0
Ar 1.6666666666666667 8.333333333333334 1.6666666666666667
Ar 1.6666666666666667 9.166666666666668 2.5
Ar 2.5 8.333333333333334 2.5
Ar 2.5 9.166666666666668 1.6666666666666667
Ar 1.6666666666666667 8.333333333333334 3.3333333333333335
Ar 1.6666666666666667 9.166666666666668 4.166666666666667
Ar 2.5 8.333333333333334 4.166666666666667
Ar 2.5 9.166666666666668 3.3333333333333335
Ar 1.6666666666666667 8.333333333333334 5.0
Ar 1.6666666666666667 9.166666666666668 5.833333333333334
Ar 2.5 8.333333333333334 5.833333333333334
Ar 2.5 9.166666666666668 5.0
Ar 1.6666666666666667 8.333333333333334 6.666666666666667
Ar 1.6666666666666667 9.166666666666668 7.5
Ar 2.5 8.333333333333334 7.5
Ar 2.5 9.166666666666668 6.666666666666667
Ar 1.6666666666666667 8.333333333333334 8.333333333333334
Ar 1.6666666666666667 9.166666666666668 9.166666666666668
Ar 2.5 8.333333333333334 9.166666666666668
Ar 2.5 9.166666666666668 8.333333333333334
Ar 3.3333333333333335 0.0 0.0
Ar 3.3333333333333335 0.8333333333333334 0.8333333333333334
Ar 4.166666666666667 0.0 0.8333333333333334
Ar 4.166666666666667 0.8333333333333334 0.0
Ar 3.3333333333333335 0.0 1.6666666666666667
Ar 3.3333333333333335 0.8333333333333334 2.5
Ar 4.166666666666667 0.0 2.5
Ar 4.166666666666667 0.8333333333333334 1.6666666666666667
Ar 3.3333333333333335 0.0 3.3333333333333335
Ar 3.3333333333333335 0.8333333333333334 4.166666666666667
Ar 4.166666666666667 0.0 4.166666666666667
Ar 4.166666666666667 0.8333333333333334 3.3333333333333335
Ar 3.3333333333333335 0.0 5.0
Ar 3.3333333333333335 0.8333333333333334 5.833333333333334
Ar 4.166666666666667 0.0 5.833333333333334
Ar 4.166666666666667 0.8333333333333334 5.0
Ar 3.3333333333333335 0.0 6.666666666666667
Ar 3.3333333333333335 0.8333333333333334 7.5
Ar 4.166666666666667 0.0 7.5
Ar 4.166666666666667 0.8333333333333334 6.666666666666667
Ar 3.3333333333333335 0.0 8.333333333333334
Ar 3.3333333333333335 0.8333333333333334 9.166666666666668
Ar 4.166666666666667 0.0 9.166666666666668
Ar 4.166666666666667 0.8333333333333334 8.333333333333334
Ar 3.3333333333333335 1.6666666666666667 0.0
Ar 3.3333333333333335 2.5 0.8333333333333334
Ar 4.166666666666667 1.6666666666666667 0.8333333333333334
Ar 4.166666666666667 2.5 0.0
Ar 3.3333333333333335 1.6666666666666667 1.6666666666666667
Ar 3.3333333333333335 2.5 2.5
Ar 4.166666666666667 1.6666666666666667 2.5
Ar 4.166666666666667 2.5 1.6666666666666667
Ar 3.3333333333333335 1.6666666666666667 3.3333333333333335
Ar 3.3333333333333335 2.5 4.166666666666667
Ar 4.166666666666667 1.6666666666666667 4.166666666666667
Ar 4.166666666666667 2.5 3.3333333333333335
Ar 3.3333333333333335 1.6666666666666667 5.0
Ar 3.3333333333333335 2.5 5.833333333333334
Ar 4.166666666666667 1.6666666666666667 5.833333333333334
Ar 4.166666666666667 2.5 5.0
Ar 3.3333333333333335 1.6666666666666667 6.666666666666667
Ar 3.3333333333333335 2.5 7.5
Ar 4.166666666666667 1.6666666666666667 7.5
Ar 4.166666666666667 2.5 6.666666666666667
Ar 3.3333333333333335 1.6666666666666667 8.333333333333334
Ar 3.3333333333333335 2.5 9.166666666666668
Ar 4.166666666666667 1.6666666666666667 9.166666666666668
Ar 4.166666666666667 2.5 8.333333333333334
Ar 3.3333333333333335 3.3333333333333335 0.0
Ar 3.3333333333333335 4.166666666666667 0.8333333333333334
Ar 4.166666666666667 3.3333333333333335 0.8333333333333334
Ar 4.166666666666667 4.166666666666667 0.0
Ar 3.3333333333333335 3.3333333333333335 1.6666666666666667
Ar 3.3333333333333335 4.166666666666667 2.5
Ar 4.166666666666667 3.3333333333333335 2.5
Ar 4.166666666666667 4.166666666666667 1.6666666666666667
Ar 3.3333333333333335 3.3333333333333335 3.3333333333333335
Ar 3.3333333333333335 4.166666666666667 4.166666666666667
Ar 4.166666666666667 3.3333333333333335 4.166666666666667
Ar 4.166666666666667 4.166666666666667 3.3333333333333335
Ar 3.3333333333333335 3.3333333333333335 5.0
Ar 3.3333333333333335 4.166666666666667 5.833333333333334
Ar 4.166666666666667 3.3333333333333335 5.833333333333334
Ar 4.166666666666667 4.166666666666667 5.0
Ar 3.3333333333333335 3.3333333333333335 6.666666666666667
Ar 3.3333333333333335 4.166666666666667 7.5
Ar 4.166666666666667 3.3333333333333335 7.5
Ar 4.166666666666667 4.166666666666667 6.666666666666667
Ar 3.3333333333333335 3.3333333333333335 8.333333333333334
Ar 3.3333333333333335 4.166666666666667 9.166666666666668
Ar 4.166666666666667 3.3333333333333335 9.166666666666668
Ar 4.166666666666667 4.166666666666667 8.333333333333334
Ar 3.3333333333333335 5.0 0.0
Ar 3.3333333333333335 5.833333333333334 0.8333333333333334
Ar 4.166666666666667 5.0 0.8333333333333334
Ar 4.166666666666667 5.833333333333334 0.0
Ar 3.3333333333333335 5.0 1.6666666666666667
Ar 3.3333333333333335 5.833333333333334 2.5
Ar 4.166666666666667 5.0 2.5
Ar 4.166666666666667 5.833333333333334 1.6666666666666667
Ar 3.3333333333333335 5.0 3.3333333333333335
Ar 3.3333333333333335 5.833333333333334 4.166666666666667
Ar 4.166666666666667 5.0 4.166666666666667
Ar 4.166666666666667 5.833333333333334 3.3333333333333335
Ar 3.3333333333333335 5.0 5.0
Ar 3.3333333333333335 5.833333333333334 5.833333333333334
Ar 4.166666666666667 5.0 5.833333333333334
Ar 4.166666666666667 5.833333333333334 5.0
Ar 3.3333333333333335 5.0 6.666666666666667
Ar 3.3333333333333335 5.833333333333334 7.5
Ar 4.166666666666667 5.0 7.5
Ar 4.166666666666667 5.833333333333334 6.666666666666667
Ar 3.3333333333333335 5.0 8.333333333333334
Ar 3.3333333333333335 5.833333333333334 9.166666666666668
Ar 4.166666666666667 5.0 9.166666666666668
Ar 4.166666666666667 5.833333333333334 8.333333333333334
Ar 3.3333333333333335 6.666666666666667 0.0
Ar 3.3333333333333335 7.5 0.8333333333333334
Ar 4.166666666666667 6.666666666666667 0.8333333333333334
Ar 4.166666666666667 7.5 0.0
Ar 3.3333333333333335 6.666666666666667 1.6666666666666667
Ar 3.3333333333333335 7.5 2.5
Ar 4.166666666666667 6.666666666666667 2.5
Ar 4.166666666666667 7.5 1.6666666666666667
Ar 3.3333333333333335 6.666666666666667 3.3333333333333335
Ar 3.3333333333333335 7.5 4.166666666666667
Ar 4.166666666666667 6.666666666666667 4.166666666666667
Ar 4.166666666666667 7.5 3.3333333333333335
Ar 3.3333333333333335 6.666666666666667 5.0
Ar 3.3333333333333335 7.5 5.833333333333334
Ar 4.166666666666667 6.666666666666667 5.833333333333334
Ar 4.166666666666667 7.5 5.0
Ar 3.3333333333333335 6.666666666666667 6.666666666666667
Ar 3.3333333333333335 7.5 7.5
Ar 4.166666666666667 6.666666666666667 7.5
Ar 4.166666666666667 7.5 6.666666666666667
Ar 3.3333333333333335 6.666666666666667 8.333333333333334
Ar 3.3333333333333335 7.5 9.166666666666668
Ar 4.166666666666667 6.666666666666667 9.166666666666668
Ar 4.166666666666667 7.5 8.333333333333334
Ar 3.3333333333333335 8.333333333333334 0.0
Ar 3.3333333333333335 9.166666666666668 0.8333333333333334
Ar 4.166666666666667 8.333333333333334 0.8333333333333334
Ar 4.166666666666667 9.166666666666668 0.0
Ar 3.3333333333333335 8.333333333333334 1.6666666666666667
Ar 3.3333333333333335 9.166666666666668 2.5
Ar 4.166666666666667 8.333333333333334 2.5
Ar 4.166666666666667 9.166666666666668 1.6666666666666667
Ar 3.3333333333333335 8.333333333333334 3.3333333333333335
Ar 3.3333333333333335 9.166666666666668 4.166666666666667
Ar 4.166666666666667 8.333333333333334 4.166666666666667
Ar 4.166666666666667 9.166666666666668 3.3333333333333335
Ar 3.3333333333333335 8.333333333333334 5.0
Ar 3.3333333333333335 9.166666666666668 5.833333333333334
Ar 4.166666666666667 8.333333333333334 5.833333333333334
Ar 4.166666666666667 9.166666666666668 5.0
Ar 3.3333333333333335 8.333333333333334 6.666666666666667
Ar 3.3333333333333335 9.166666666666668 7.5
Ar 4.166666666666667 8.333333333333334 7.5
Ar 4.166666666666667 9.166666666666668 6.666666666666667
Ar 3.3333333333333335 8.333333333333334 8.333333333333334
Ar 3.3333333333333335 9.166666666666668 9.166666666666668
Ar 4.166666666666667 8.333333333333334 9.166666666666668
Ar 4.166666666666667 9.166666666666668 8.333333333333334
Ar 5.0 0.0 0.0
Ar 5.0 0.8333333333333334 0.8333333333333334
Ar 5.833333333333334 0.0 0.8333333333333334
Ar 5.833333333333334 0.8333333333333334 0.0
Ar 5.0 0.0 1.6666666666666667
Ar 5.0 0.8333333333333334 2.5
Ar 5.833333333333334 0.0 2.5
Ar 5.833333333333334 0.8333333333333334 1.6666666666666667
Ar 5.0 0.0 3.3333333333333335
Ar 5.0 0.8333333333333334 4.166666666666667
Ar 5.833333333333334 0.0 4.166666666666667
Ar 5.833333333333334 0.8333333333333334 3.3333333333333335
Ar 5.0 0.0 5.0
Ar 5.0 0.8333333333333334 5.833333333333334
Ar 5.833333333333334 0.0 5.833333333333334
Ar 5.833333333333334 0.8333333333333334 5.0
Ar 5.0 0.0 6.666666666666667
Ar 5.0 0.8333333333333334 7.5
Ar 5.833333333333334 0.0 7.5
Ar 5.833333333333334 0.8333333333333334 6.666666666666667
Ar 5.0 0.0 8.333333333333334
Ar 5.0 0.8333333333333334 9.166666666666668
Ar 5.833333333333334 0.0 9.166666666666668
Ar 5.833333333333334 0.8333333333333334 8.333333333333334
Ar 5.0 1.6666666666666667 0.0
Ar 5.0 2.5 0.8333333333333334
Ar 5.833333333333334 1.6666666666666667 0.8333333333333334
Ar 5.833333333333334 2.5 0.0
Ar 5.0 1.6666666666666667 1.6666666666666667
Ar 5.0 2.5 2.5
Ar 5.833333333333334 1.6666666666666667 2.5
Ar 5.833333333333334 2.5 1.6666666666666667
Ar 5.0 1.6666666666666667 3.3333333333333335
Ar 5.0 2.5 4.166666666666667
Ar 5.833333333333334 1.6666666666666667 4.166666666666667
Ar 5.833333333333334 2.5 3.3333333333333335
Ar 5.0 1.6666666666666667 5.0
Ar 5.0 2.5 5.833333333333334
Ar 5.833333333333334 1.6666666666666667 5.833333333333334
Ar 5.833333333333334 2.5 5.0
Ar 5.0 1.6666666666666667 6.666666666666667
Ar 5.0 2.5 7.5
Ar 5.833333333333334 1.6666666666666667 7.5
Ar 5.833333333333334 2.5 6.666666666666667
Ar 5.0 1.6666666666666667 8.333333333333334
Ar 5.0 2.5 9.166666666666668
Ar 5.833333333333334 1.6666666666666667 9.166666666666668
Ar 5.833333333333334 2.5 8.333333333333334
Ar 5.0 3.3333333333333335 0.0
Ar 5.0 4.166666666666667 0.8333333333333334
Ar 5.833333333333334 3.3333333333333335 0.8333333333333334
Ar 5.833333333333334 4.166666666666667 0.0
Ar 5.0 3.3333333333333335 1.6666666666666667
Ar 5.0 4.166666666666667 2.5
Ar 5.833333333333334 3.3333333333333335 2.5
Ar 5.833333333333334 4.166666666666667 1.6666666666666667
Ar 5.0 3.3333333333333335 3.3333333333333335
Ar 5.0 4.166666666666667 4.166666666666667
Ar 5.833333333333334 3.3333333333333335 4.166666666666667
Ar 5.833333333333334 4.166666666666667 3.3333333333333335
Ar 5.0 3.3333333333333335 5.0
Ar 5.0 4.166666666666667 5.833333333333334
Ar 5.833333333333334 3.3333333333333335 5.833333333333334
Ar 5.833333333333334 4.166666666666667 5.0
Ar 5.0 3.3333333333333335 6.666666666666667
Ar 5.0 4.166666666666667 7.5
Ar 5.833333333333334 3.3333333333333335 7.5
Ar 5.833333333333334 4.166666666666667 6.666666666666667
Ar 5.0 3.3333333333333335 8.333333333333334
Ar 5.0 4.166666666666667 9.166666666666668
Ar 5.833333333333334 3.3333333333333335 9.166666666666668
Ar 5.833333333333334 4.166666666666667 8.333333333333334
Ar 5.0 5.0 0.0
Ar 5.0 5.833333333333334 0.8333333333333334
Ar 5.833333333333334 5.0 0.8333333333333334
Ar 5.833333333333334 5.833333333333334 0.0
Ar 5.0 5.0 1.6666666666666667
Ar 5.0 5.833333333333334 2.5
Ar 5.833333333333334 5.0 2.5
Ar 5.833333333333334 5.833333333333334 1.6666666666666667
Ar 5.0 5.0 3.3333333333333335
Ar 5.0 5.833333333333334 4.166666666666667
Ar 5.833333333333334 5.0 4.166666666666667
Ar 5.833333333333334 5.833333333333334 3.3333333333333335
Ar 5.0 5.0 5.0
Ar 5.0 5.833333333333334 5.833333333333334
Ar 5.833333333333334 5.0 5.833333333333334
Ar 5.833333333333334 5.833333333333334 5.0
Ar 5.0 5.0 6.666666666666667
Ar 5.0 5.833333333333334 7.5
Ar 5.833333333333334 5.0 7.5
Ar 5.833333333333334 5.833333333333334 6.666666666666667
Ar 5.0 5.0 8.333333333333334
Ar 5.0 5.833333333333334 9.166666666666668
Ar 5.833333333333334 5.0 9.166666666666668
Ar 5.833333333333334 5.833333333333334 8.333333333333334
Ar 5.0 6.666666666666667 0.0
Ar 5.0 7.5 0.8333333333333334
Ar 5.833333333333334 6.666666666666667 0.8333333333333334
Ar 5.833333333333334 7.5 0.0
Ar 5.0 6.666666666666667 1.6666666666666667
Ar 5.0 7.5 2.5
Ar 5.833333333333334 6.666666666666667 2.5
Ar 5.833333333333334 7.5 1.6666666666666667
Ar 5.0 6.666666666666667 3.3333333333333335
Ar 5.0 7.5 4.166666666666667
Ar 5.833333333333334 6.666666666666667 4.166666666666667
Ar 5.833333333333334 7.5 3.3333333333333335
Ar 5.0 6.666666666666667 5.0
Ar 5.0 7.5 5.833333333333334
Ar 5.833333333333334 6.666666666666667 5.833333333333334
Ar 5.833333333333334 7.5 5.0
Ar 5.0 6.666666666666667 6.666666666666667
Ar 5.0 7.5 7.5
Ar 5.833333333333334 6.666666666666667 7.5
Ar 5.833333333333334 7.5 6.666666666666667
Ar 5.0 6.666666666666667 8.333333333333334
Ar 5.0 7.5 9.166666666666668
Ar 5.833333333333334 6.666666666666667 9.166666666666668
Ar 5.833333333333334 7.5 8.333333333333334
Ar 5.0 8.333333333333334 0.0
Ar 5.0 9.166666666666668 0.8333333333333334
Ar 5.833333333333334 8.333333333333334 0.8333333333333334
Ar 5.833333333333334 9.166666666666668 0.0
Ar 5.0 8.333333333333334 1.6666666666666667
Ar 5.0 9.166666666666668 2.5
Ar 5.833333333333334 8.333333333333334 2.5
Ar 5.833333333333334 9.166666666666668 1.6666666666666667
Ar 5.0 8.333333333333334 3.3333333333333335
Ar 5.0 9.166666666666668 4.166666666666667
Ar 5.833333333333334 8.333333333333334 4.166666666666667
Ar 5.833333333333334 9.166666666666668 3.3333333333333335
Ar 5.0 8.333333333333334 5.0
Ar 5.0 9.166666666666668 5.833333333333334
